# PDB Code: 1ua7
# Beta: 100.0
# Mutation Method: Point Mutation
# Embedding Difference Method: None
# Reference File: 1ua7.pdb
# Protected Indices: "[173, 205, 266]"
PDB File,Iteration,Delta E,Emut,Hamming Distance,RMSD_pymol_global,RMSD_pymol_local,RMSD_stef_global,RMSD_stef_local,TM_score_global,TM_score_local,lDDT_global,lDDT_local
msk_1ua7_beta_100.0_seq_160.pdb,1610,0.0009414354960124,0.3870029052098592,384,21.673145294189453,7.853867053985596,32.38565,7.853867,,,0.1894067116249197,0.0
msk_1ua7_beta_100.0_seq_161.pdb,1620,0.0011820793151855,0.392060915629069,385,22.436861038208008,9.469205856323242,28.38221,9.469206,,,0.1871989402697495,0.0
msk_1ua7_beta_100.0_seq_162.pdb,1630,0.0017839272816976,0.4030206998189291,386,22.64255142211914,4.146546363830566,28.55396,4.1465464,,,0.18065590879897236,0.25
msk_1ua7_beta_100.0_seq_163.pdb,1640,-0.0013510386149088,0.4023338556289673,386,23.083765029907227,16.19693946838379,26.609041,16.19694,,,0.17092164418754013,0.0
msk_1ua7_beta_100.0_seq_164.pdb,1650,-0.000737468401591,0.3976184527079264,385,24.388500213623047,16.030244827270508,28.401825,16.030245,,,0.17429351316634556,0.0
msk_1ua7_beta_100.0_seq_165.pdb,1660,-0.0002697706222534,0.3956836859385172,384,23.743549346923828,9.273762702941895,28.927336,9.273763,,,0.16789097623635196,0.08333333333333333
msk_1ua7_beta_100.0_seq_166.pdb,1670,-0.002620776494344,0.3813210328420003,384,24.575620651245117,13.195836067199707,26.552582,13.195836,,,0.16574341682723184,0.16666666666666666
msk_1ua7_beta_100.0_seq_167.pdb,1680,0.0067327419916789,0.3913442691167196,384,22.53759002685547,9.385647773742676,36.070774,9.385648,,,0.16190992292870907,0.0
msk_1ua7_beta_100.0_seq_168.pdb,1690,0.0007059574127197,0.4010002613067627,385,24.93256378173828,19.015714645385742,31.681652,19.015715,,,0.1644388246628131,0.0
msk_1ua7_beta_100.0_seq_169.pdb,1700,0.0002558628718057,0.4140408039093017,384,19.229677200317383,1.0848151445388794,19.421791,1.0848151,,,0.20012443802183688,0.8333333333333333
msk_1ua7_beta_100.0_seq_17.pdb,180,-0.0013517538706462,0.1058112780253092,135,3.475869655609131,0.276065856218338,3.6296644,0.2760659,,,0.7473908156711625,1.0
msk_1ua7_beta_100.0_seq_170.pdb,1710,0.0089629093805948,0.4205048481623331,384,19.759611129760742,1.149113416671753,20.021172,1.1491134,,,0.20014450867052025,0.8333333333333333
msk_1ua7_beta_100.0_seq_171.pdb,1720,-0.000828186670939,0.4145549138387044,384,20.899690628051758,1.1743576526641846,22.434877,1.1743579,,,0.19352119460500963,0.6666666666666666
msk_1ua7_beta_100.0_seq_172.pdb,1730,-0.0024472475051879,0.4143522977828979,385,21.42728042602539,12.70289421081543,33.832706,12.702895,,,0.15952151573538859,0.0
msk_1ua7_beta_100.0_seq_173.pdb,1740,-0.008988618850708,0.4229897658030191,385,19.69462776184082,0.8022184371948242,20.59007,0.8022184,,,0.20447976878612717,0.75
msk_1ua7_beta_100.0_seq_174.pdb,1750,0.0046962102254231,0.4196829001108805,385,20.447406768798828,3.7851476669311523,23.172392,3.7851477,,,0.19542790622992934,0.25
msk_1ua7_beta_100.0_seq_175.pdb,1760,-0.0016437768936157,0.418399969736735,385,19.853105545043945,0.8712908625602722,20.114511,0.8712908,,,0.2023121387283237,0.75
msk_1ua7_beta_100.0_seq_176.pdb,1770,-0.004934827486674,0.4152131477991739,385,19.573497772216797,0.8112658858299255,20.157648,0.81126595,,,0.19974309569685292,0.75
msk_1ua7_beta_100.0_seq_177.pdb,1780,-0.0025734504063924,0.4117610454559326,381,19.626161575317383,0.6306397318840027,19.935503,0.63063955,,,0.19400289017341044,0.9166666666666666
msk_1ua7_beta_100.0_seq_178.pdb,1790,0.0131306648254394,0.4295172691345215,380,19.534467697143555,0.8334267139434814,20.014965,0.8334267,,,0.19219653179190754,0.9166666666666666
msk_1ua7_beta_100.0_seq_179.pdb,1800,-0.0009313027064005,0.4083515008290609,380,18.51742935180664,0.7355432510375977,18.935204,0.7355434,,,0.19875963391136803,0.8333333333333333
msk_1ua7_beta_100.0_seq_18.pdb,190,0.0096995035807291,0.1222805976867675,141,3.1777803897857666,0.2998736500740051,3.4282289,0.29987353,,,0.7392622029543995,1.0
